tconst,title,year,genres,rating,numVotes
tt1255953,Incendies,2010.0,"Drama, Mystery, War",8.3,229470
tt0264464,Catch Me If You Can,2002.0,"Biography, Crime, Drama",8.1,1169939
tt0056592,To Kill a Mockingbird,1962.0,"Crime, Drama",8.3,344056
tt0050212,The Bridge on the River Kwai,1957.0,"Adventure, Drama, War",8.1,242729
tt0416449,300,2006.0,"Action, Drama",7.6,892595
tt0119488,L.A. Confidential,1997.0,"Crime, Drama, Mystery, Thriller",8.2,642860
tt0425112,Hot Fuzz,2007.0,"Action, Comedy, Mystery, Thriller",7.8,552965
tt0046912,Dial M for Murder,1954.0,"Crime, Drama, Mystery, Thriller",8.2,198586
tt0057115,The Great Escape,1963.0,"Adventure, Drama, Thriller, War",8.2,269743
tt2267998,Gone Girl,2014.0,"Drama, Mystery, Thriller",8.1,1124695
tt0190332,"Crouching Tiger, Hidden Dragon",2000.0,"Action, Adventure, Drama, Fantasy, Romance",7.9,288580
tt0120382,The Truman Show,1998.0,"Comedy, Drama",8.2,1288402
tt0892769,How to Train Your Dragon,2010.0,"Animation, Action, Adventure, Family, Fantasy",8.1,848067
tt0116282,Fargo,1996.0,"Crime, Drama, Thriller",8.1,758628
tt0361862,The Machinist,2004.0,"Drama, Thriller",7.6,430377
tt0405159,Million Dollar Baby,2004.0,"Drama, Sport",8.1,747956
tt0083658,Blade Runner,1982.0,"Action, Drama, Sci-Fi, Thriller",8.1,855914
tt0347149,Howl's Moving Castle,2004.0,"Animation, Adventure, Family, Fantasy",8.2,485631
tt0338564,Infernal Affairs,2002.0,"Crime, Drama, Mystery, Thriller",8.0,135076
tt0289043,28 Days Later,2002.0,"Drama, Horror, Sci-Fi, Thriller",7.5,480457
tt0073195,Jaws,1975.0,"Adventure, Drama, Horror, Thriller",8.1,696994
tt0099785,Home Alone,1990.0,"Comedy, Family",7.7,698026
tt0113277,Heat,1995.0,"Action, Crime, Drama",8.3,761209
tt0107048,Groundhog Day,1993.0,"Comedy, Drama, Fantasy, Romance",8.0,718573
tt0072684,Barry Lyndon,1975.0,"Adventure, Drama, War",8.1,194241
tt0443272,Lincoln,2012.0,"Biography, Drama, History, War",7.3,279338
tt0036775,Double Indemnity,1944.0,"Crime, Drama, Film-Noir, Mystery, Thriller",8.3,175350
tt1232829,21 Jump Street,2012.0,"Action, Comedy, Crime",7.2,624673
tt0066921,A Clockwork Orange,1971.0,"Crime, Sci-Fi",8.2,913600
